PDS Client Code,Client Name,PDS Product Code,Cession ID#,Active To,To be uploaded,Status,PULLED 9/23,AVAILABLE UNDER NEW LOG IN,Future Development
PORC210901,28 Hicklin Reinsurance Limited ,VESC_SC-PORC_A,8039,,YES,,y,,Equation included in Product Mapping
PORC190606,"3-Line Sisters Reinsurance, Ltd. ",Chemical_PORC_A,7497,,YES,,y,,
PORC190606,"3-Line Sisters Reinsurance, Ltd. ",GAP_PORC_A,7498,,YES,,y,,
PORC190606,"3-Line Sisters Reinsurance, Ltd. ",TW_PORC_A,7499,,YES,,y,,
PORC190606,"3-Line Sisters Reinsurance, Ltd. ",VESC_SC-PORC_A,7194,,YES,,y,,
PORC120405,"4 KAPS Reinsurance, Ltd. (AG) ",EL_SFA,,-,NO,,y,,
PORC120405,"4 KAPS Reinsurance, Ltd. (AG) ",Etch_SFA,,-,NO,,y,,
PORC120405,"4 KAPS Reinsurance, Ltd. (AG) ",GAP_SFA,,-,NO,,y,,
PORC120405,"4 KAPS Reinsurance, Ltd. (AG) ",PPM_SFA,,-,NO,,y,,
PORC120405,"4 KAPS Reinsurance, Ltd. (AG) ",VESC_LP-SFA,6987,,YES,,y,,
PORC120405,"4 KAPS Reinsurance, Ltd. (AG) ",VESC_PC-SFA,,-,NO,,y,,
PORC120405,"4 KAPS Reinsurance, Ltd. (AG) ",VESC_SC-SFA,6990,,YES,,y,,* For Annual… Can newer date automatically replace??
PORC120405,"4 KAPS Reinsurance, Ltd. (AG) ",VscRefund_SC-SFA,,-,NO,,y,,
PORC120407,"4 KAPS Reinsurance, Ltd. (AG) ",PPM_SFA,,12/31/21,NO,,y,,
PORC120407,"4 KAPS Reinsurance, Ltd. (AG) ",VESC_LP-SFA_A,4230,,YES,,y,,
PORC120407,"4 KAPS Reinsurance, Ltd. (AG) ",VESC_LP-SFA,,-,NO,,y,,* For Annual… Can newer date automatically replace??
PORC120407,"4 KAPS Reinsurance, Ltd. (AG) ",VESC_SC-SFA,,-,NO,,y,,
PORC080305,"4 KAPS Reinsurance, Ltd. (QS)",EL_PORC,,-,NO,,y,,
PORC080305,"4 KAPS Reinsurance, Ltd. (QS)",Etch_PORC,,-,NO,,y,,
PORC080305,"4 KAPS Reinsurance, Ltd. (QS)",GAP_PORC,6986,,YES,,y,,* For Annual… Can newer date automatically replace??
PORC080305,"4 KAPS Reinsurance, Ltd. (QS)",LP_PORC,4233,,YES,,y,,
PORC080305,"4 KAPS Reinsurance, Ltd. (QS)",PPM_PORC,,-,NO,,y,,
PORC080305,"4 KAPS Reinsurance, Ltd. (QS)",VESC_PC-PORC,,-,NO,,y,,
PORC080305,"4 KAPS Reinsurance, Ltd. (QS)",VESC_SC-PORC,4247,,YES,,y,,
PORC080305,"4 KAPS Reinsurance, Ltd. (QS)",VscRefund_PORC,,-,NO,,y,,
PORC120406,"4 KAPS Reinsurance, Ltd. (QS) ",LP_PORC_A,4231,,YES,X,y,,
PORC120406,"4 KAPS Reinsurance, Ltd. (QS) ",LP_PORC,4229,,YES,X,y,,
PORC120406,"4 KAPS Reinsurance, Ltd. (QS) ",PPM_PORC,,12/31/18,NO,,y,,
PORC120406,"4 KAPS Reinsurance, Ltd. (QS) ",VESC_SC-PORC,,12/31/18,NO,,y,,
PORC171101,"786 Solutions Reinsurance, Ltd. ",Chemical_PORC_A,8620,,YES,,y,,
PORC171101,"786 Solutions Reinsurance, Ltd. ",Etch_PORC_A,5611,,YES,,y,,
PORC171101,"786 Solutions Reinsurance, Ltd. ",VESC_SC-PORC_A,5610,,YES,,y,,
PORC110326,Alabri Reinsurance Ltd.,Etch_PORC_A,,-,NO,,Y,,
PORC110326,Alabri Reinsurance Ltd.,Etch_PORC,,-,NO,,Y,,
PORC110326,Alabri Reinsurance Ltd.,GAP_PORC_A,,-,NO,,Y,,
PORC110326,Alabri Reinsurance Ltd.,GAP_PORC,,-,NO,,Y,,
PORC110326,Alabri Reinsurance Ltd.,GIP_PORC,,-,NO,,Y,,
PORC200202,"American School Bus Protection Reinsurance, Ltd. ",VESC_LW-PORC_A,7243,,YES,,y,,
PORC070807,"Appalachian Reinsurance, Ltd.",EL_PORC,,12/31/22,NO,,Y,,
PORC110401,"Appalachian Reinsurance, Ltd.",EL_PORC,,12/31/22,NO,,y,,
PORC120404,"Automotive Development Group Reinsurance, Ltd. ",PPM_PORC,,12/31/19,NO,,y,,* For Annual… Can newer date automatically replace??
PORC131001,"AVB Five Reinsurance, Ltd. ",PPM_PORC,,-,NO,,N,,
PORC200205,"B & H Investments Reinsurance, Ltd. ",Chemical_PORC_A,8528,,YES,,y,,
PORC200205,"B & H Investments Reinsurance, Ltd. ",GAP_PORC_A,7967,,YES,,y,,
PORC200205,"B & H Investments Reinsurance, Ltd. ",VESC_CL-PORC_A,7212,,YES,,y,,
PORC200205,"B & H Investments Reinsurance, Ltd. ",VESC_KR-PORC_A,7968,,YES,,y,,
PORC200205,"B & H Investments Reinsurance, Ltd. ",VESC_PR-PORC_A,7970,,YES,,y,,
PORC200205,"B & H Investments Reinsurance, Ltd. ",VESC_PW-PORC_A,8543,,YES,,y,,
PORC200205,"B & H Investments Reinsurance, Ltd. ",VESC_SC-PORC_A,7969,,YES,,y,,
PORC130503,"B & R Turbo Reinsurance, Ltd. ",GAP_PORC_A,8629,,YES,,y,,
PORC130503,"B & R Turbo Reinsurance, Ltd. ",Chemical_PORC_A,3574,,YES,,y,,
PORC130503,"B & R Turbo Reinsurance, Ltd. ",Chemical_PORC,,05/31/19,NO,,y,,
PORC130503,"B & R Turbo Reinsurance, Ltd. ",TW_PORC_A,7434,,YES,,y,,
PORC130503,"B & R Turbo Reinsurance, Ltd. ",VESC_SC-PORC_A,3576,,YES,,y,,
PORC130503,"B & R Turbo Reinsurance, Ltd. ",VESC_SC-PORC,,12/31/21,NO,,y,,
PORC131205,"Baron Group Reinsurance, Ltd. ",Etch_PORC_A,7239,,YES,,y,,
PORC131205,"Baron Group Reinsurance, Ltd. ",PPM-PORC_A,4370,,YES,,y,,
PORC131205,"Baron Group Reinsurance, Ltd. ",VESC_SC-PORC_A,4371,,YES,,y,,
PORC131205,"Baron Group Reinsurance, Ltd. ",VESC_SC-PORC,,07/08/19,NO,,y,,
PORC061101,"Bemis Reinsurance, Ltd. ",Equis_SC-PORC,,12/31/18,NO,,N,,
PORC120904,BES & Associates Reinsurance Limited ,Chemical_PORC_A,3315,,YES,,y,,
PORC120904,BES & Associates Reinsurance Limited ,Chemical_PORC,,12/31/21,NO,,y,,
PORC120904,BES & Associates Reinsurance Limited ,GAP_PORC_A,,12/31/22,NO,,y,,
PORC120904,BES & Associates Reinsurance Limited ,GAP_PORC,,12/31/22,NO,,y,,
PORC120904,BES & Associates Reinsurance Limited ,LP_PORC_A,3319,,YES,,y,,
PORC120904,BES & Associates Reinsurance Limited ,LP_PORC,3318,,YES,,y,,
PORC120904,BES & Associates Reinsurance Limited ,PPM-PORC_A,3321,,YES,,y,,
PORC120904,BES & Associates Reinsurance Limited ,PPM_PORC,,12/31/18,NO,,y,,
PORC120904,BES & Associates Reinsurance Limited ,VESC_PW-PORC_A,8407,,YES,,y,,
PORC120904,BES & Associates Reinsurance Limited ,VESC_SC-PORC_A,3323,,YES,,y,,
PORC120904,BES & Associates Reinsurance Limited ,VESC_SC-PORC,,12/31/22,NO,,y,annual,Equation included in Product Mapping
PORC130501,"BLW Reinsurance, Ltd. ",Chemical_PORC_A,3578,,YES,,y,,
PORC130501,"BLW Reinsurance, Ltd. ",Chemical_PORC,,06/30/19,NO,,y,,
PORC130501,"BLW Reinsurance, Ltd. ",VESC_SC-PORC_A,3580,,YES,,y,,
PORC130501,"BLW Reinsurance, Ltd. ",VESC_SC-PORC,,12/31/21,NO,,y,,
